timestamp,open,high,low,close,volume
2024-01-02T09:30:00-05:00,99.95,100.30,99.70,100.00,100000
2024-01-02T09:35:00-05:00,100.05,100.40,99.80,100.10,100001
2024-01-02T09:40:00-05:00,99.95,101.00,99.70,100.00,100002
2024-01-02T09:45:00-05:00,100.05,100.40,99.00,100.10,100003
2024-01-02T09:50:00-05:00,99.95,100.30,99.70,100.00,100004
2024-01-02T09:55:00-05:00,100.05,100.40,99.80,100.10,100005
2024-01-02T10:00:00-05:00,101.45,101.80,101.10,101.50,100006
2024-01-02T10:05:00-05:00,100.25,100.50,100.10,100.30,100007
2024-01-02T10:10:00-05:00,100.30,100.55,100.15,100.35,100008
2024-01-02T10:15:00-05:00,100.35,100.60,100.20,100.40,100009
2024-01-02T10:20:00-05:00,100.15,100.40,100.00,100.20,100010
2024-01-02T10:25:00-05:00,100.20,100.45,100.05,100.25,100011
2024-01-02T10:30:00-05:00,98.45,99.00,98.20,98.50,100012
2024-01-02T10:35:00-05:00,100.30,100.55,100.15,100.35,100013
2024-01-02T10:40:00-05:00,100.35,100.60,100.20,100.40,100014
2024-01-02T10:45:00-05:00,100.15,100.40,100.00,100.20,100015
2024-01-02T10:50:00-05:00,100.20,100.45,100.05,100.25,100016
2024-01-02T10:55:00-05:00,100.25,100.50,100.10,100.30,100017
2024-01-02T11:00:00-05:00,100.30,100.55,100.15,100.35,100018
2024-01-02T11:05:00-05:00,100.35,100.60,100.20,100.40,100019
2024-01-02T11:10:00-05:00,100.15,100.40,100.00,100.20,100020
2024-01-02T11:15:00-05:00,100.20,100.45,100.05,100.25,100021
2024-01-02T11:20:00-05:00,100.25,100.50,100.10,100.30,100022
2024-01-02T11:25:00-05:00,100.30,100.55,100.15,100.35,100023
2024-01-02T11:30:00-05:00,100.35,100.60,100.20,100.40,100024
2024-01-02T11:35:00-05:00,100.15,100.40,100.00,100.20,100025
2024-01-02T11:40:00-05:00,100.20,100.45,100.05,100.25,100026
2024-01-02T11:45:00-05:00,100.25,100.50,100.10,100.30,100027
2024-01-02T11:50:00-05:00,100.30,100.55,100.15,100.35,100028
2024-01-02T11:55:00-05:00,100.35,100.60,100.20,100.40,100029
2024-01-02T12:00:00-05:00,100.15,100.40,100.00,100.20,100030
2024-01-02T12:05:00-05:00,100.20,100.45,100.05,100.25,100031
2024-01-02T12:10:00-05:00,100.25,100.50,100.10,100.30,100032
2024-01-02T12:15:00-05:00,100.30,100.55,100.15,100.35,100033
2024-01-02T12:20:00-05:00,100.35,100.60,100.20,100.40,100034
2024-01-02T12:25:00-05:00,100.15,100.40,100.00,100.20,100035
2024-01-02T12:30:00-05:00,100.20,100.45,100.05,100.25,100036
2024-01-02T12:35:00-05:00,100.25,100.50,100.10,100.30,100037
2024-01-02T12:40:00-05:00,100.30,100.55,100.15,100.35,100038
2024-01-02T12:45:00-05:00,100.35,100.60,100.20,100.40,100039
2024-01-02T12:50:00-05:00,100.15,100.40,100.00,100.20,100040
2024-01-02T12:55:00-05:00,100.20,100.45,100.05,100.25,100041
2024-01-02T13:00:00-05:00,100.25,100.50,100.10,100.30,100042
2024-01-02T13:05:00-05:00,100.30,100.55,100.15,100.35,100043
2024-01-02T13:10:00-05:00,100.35,100.60,100.20,100.40,100044
2024-01-02T13:15:00-05:00,100.15,100.40,100.00,100.20,100045
2024-01-02T13:20:00-05:00,100.20,100.45,100.05,100.25,100046
2024-01-02T13:25:00-05:00,100.25,100.50,100.10,100.30,100047
2024-01-02T13:30:00-05:00,100.30,100.55,100.15,100.35,100048
2024-01-02T13:35:00-05:00,100.35,100.60,100.20,100.40,100049
2024-01-02T13:40:00-05:00,100.15,100.40,100.00,100.20,100050
2024-01-02T13:45:00-05:00,100.20,100.45,100.05,100.25,100051
2024-01-02T13:50:00-05:00,100.25,100.50,100.10,100.30,100052
2024-01-02T13:55:00-05:00,100.30,100.55,100.15,100.35,100053
2024-01-02T14:00:00-05:00,100.35,100.60,100.20,100.40,100054
2024-01-02T14:05:00-05:00,100.15,100.40,100.00,100.20,100055
2024-01-02T14:10:00-05:00,100.20,100.45,100.05,100.25,100056
2024-01-02T14:15:00-05:00,100.25,100.50,100.10,100.30,100057
2024-01-02T14:20:00-05:00,100.30,100.55,100.15,100.35,100058
2024-01-02T14:25:00-05:00,100.35,100.60,100.20,100.40,100059
2024-01-02T14:30:00-05:00,100.15,100.40,100.00,100.20,100060
